"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d"
"44","1",0,1,0.25,-393.858431564317,-38.2791395697849,2.61024762010847e-319,1.58209605282311e-313
"45","1",0,1,0.25,-393.858431564317,-38.2391195597799,1.2068195685012e-318,8.27983529479545e-313
"46","1",0,1,0.25,-393.858431564317,-38.1990995497749,5.57068402933276e-318,4.3248636568187e-312
"47","1",0,1,0.25,-393.858431564317,-38.1590795397699,2.56731380955052e-317,2.25468054067171e-311
"48","1",0,1,0.25,-393.858431564317,-38.1190595297649,1.18128299509087e-316,1.17316604915951e-310
"49","1",0,1,0.25,-393.858431564317,-38.0790395197599,5.42666888363306e-316,6.0925041021399e-310
"50","1",0,1,0.25,-393.858431564317,-38.0390195097549,2.48895545760114e-315,3.1578685606571e-309
"51","1",0,1,0.25,-393.858431564317,-37.9989994997499,1.13973887163077e-314,1.63363167177075e-308
"52","1",0,1,0.25,-393.858431564317,-37.9589794897449,5.21072350957817e-314,8.43482577452669e-308
"53","1",0,1,0.25,-393.858431564317,-37.9189594797399,2.3784560551264e-313,4.34670298801448e-307
"54","1",0,1,0.25,-393.858431564317,-37.8789394697349,1.08391859682461e-312,2.23565967324197e-306
"55","1",0,1,0.25,-393.858431564317,-37.8389194597299,4.93176798284165e-312,1.14766014330541e-305
"56","1",0,1,0.25,-393.858431564317,-37.7988994497249,2.24033539089815e-311,5.88007391640641e-305
"57","1",0,1,0.25,-393.858431564317,-37.7588794397199,1.01607993607422e-310,3.00686653753653e-304
"58","1",0,1,0.25,-393.858431564317,-37.7188594297149,4.60094609721548e-310,1.53464313053163e-303
"59","1",0,1,0.25,-393.858431564317,-37.6788394197099,2.08003598452273e-309,7.81740350959771e-303
"60","1",0,1,0.25,-393.858431564317,-37.6388194097049,9.38855997127629e-309,3.97447291704982e-302
"61","1",0,1,0.25,-393.858431564317,-37.5987993996998,4.23088825140924e-308,2.01677959197676e-301
"62","1",0,1,0.25,-393.858431564317,-37.5587793896948,1.90356871234349e-307,1.02140791380571e-300
"63","1",0,1,0.25,-393.858431564317,-37.5187593796898,8.55086391415058e-307,5.16299713376068e-300
"64","1",0,1,0.25,-393.858431564317,-37.4787393696848,3.83491608257256e-306,2.60475233123186e-299
"65","1",0,1,0.25,-393.858431564317,-37.4387193596798,1.71714183285818e-305,1.31157422560286e-298
"66","1",0,1,0.25,-393.858431564317,-37.3986993496748,7.67645848696639e-305,6.59145359933594e-298
"67","1",0,1,0.25,-393.858431564317,-37.3586793396698,3.42625810724861e-304,3.30621744564881e-297
"68","1",0,1,0.25,-393.858431564317,-37.3186593296648,1.52680537482214e-303,1.65517346855285e-296
"69","1",0,1,0.25,-393.858431564317,-37.2786393196598,6.79284519702437e-303,8.27022850531126e-296
"70","1",0,1,0.25,-393.858431564317,-37.2386193096548,3.01733957075667e-302,4.12432986444116e-295
"71","1",0,1,0.25,-393.858431564317,-37.1985992996498,1.33813858161874e-301,2.05282140827701e-294
"72","1",0,1,0.25,-393.858431564317,-37.1585792896448,5.92491917508698e-301,1.01979020385364e-293
"73","1",0,1,0.25,-393.858431564317,-37.1185592796398,2.61919722183349e-300,5.05629491259344e-293
"74","1",0,1,0.25,-393.858431564317,-37.0785392696348,1.15600152226711e-299,2.50216446112534e-292
"75","1",0,1,0.25,-393.858431564317,-37.0385192596298,5.09393083654872e-299,1.2358370214461e-291
"76","1",0,1,0.25,-393.858431564317,-36.9984992496248,2.24105293743355e-298,6.09211995886025e-291
"77","1",0,1,0.25,-393.858431564317,-36.9584792396198,9.84363768631478e-298,2.99735089579655e-290
"78","1",0,1,0.25,-393.858431564317,-36.9184592296148,4.31681620801756e-297,1.47186720013208e-289
"79","1",0,1,0.25,-393.858431564317,-36.8784392196098,1.8900614765272e-296,7.21375792982899e-289
"80","1",0,1,0.25,-393.858431564317,-36.8384192096048,8.26214353505823e-296,3.52871351759329e-288
"81","1",0,1,0.25,-393.858431564317,-36.7983991995998,3.60590245434632e-295,1.72279315447555e-287
"82","1",0,1,0.25,-393.858431564317,-36.7583791895948,1.57122957876061e-294,8.39482746029611e-287
"83","1",0,1,0.25,-393.858431564317,-36.7183591795898,6.83549156480477e-294,4.0827455406311e-286
"84","1",0,1,0.25,-393.858431564317,-36.6783391695848,2.96895961807419e-293,1.98177686518199e-285
"85","1",0,1,0.25,-393.858431564317,-36.6383191595798,1.2874882167062e-292,9.60105812024825e-285
"86","1",0,1,0.25,-393.858431564317,-36.5982991495748,5.57425290432489e-292,4.64242982204473e-284
"87","1",0,1,0.25,-393.858431564317,-36.5582791395698,2.4095420403897e-291,2.24044094583526e-283
"88","1",0,1,0.25,-393.858431564317,-36.5182591295648,1.03988851266639e-290,1.07915433803482e-282
"89","1",0,1,0.25,-393.858431564317,-36.4782391195598,4.48067544115644e-290,5.18794696116041e-282
"90","1",0,1,0.25,-393.858431564317,-36.4382191095548,1.92754544647083e-289,2.48925507794665e-281
"91","1",0,1,0.25,-393.858431564317,-36.3981990995498,8.27885353489638e-289,1.19207940424779e-280
