year,intent,police,sex,age,race
2014,Suicide,0,Male,25,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Male,53,Asian/Pacific Islander
2014,Suicide,0,Female,27,Asian/Pacific Islander
2014,Suicide,0,Male,51,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Male,27,Asian/Pacific Islander
2014,Suicide,0,Male,39,Asian/Pacific Islander
2014,Suicide,0,Male,49,Asian/Pacific Islander
2014,Suicide,0,Female,85,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,26,Asian/Pacific Islander
2014,Suicide,0,Male,37,Asian/Pacific Islander
2014,Suicide,0,Male,56,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,40,Asian/Pacific Islander
2014,Suicide,0,Male,35,Asian/Pacific Islander
2014,Suicide,0,Male,25,Asian/Pacific Islander
2014,Suicide,0,Female,57,Asian/Pacific Islander
2014,Suicide,0,Male,64,Asian/Pacific Islander
2014,Suicide,0,Male,72,Asian/Pacific Islander
2014,Suicide,0,Male,54,Asian/Pacific Islander
2014,Suicide,0,Male,47,Asian/Pacific Islander
2014,Suicide,0,Male,63,Asian/Pacific Islander
2014,Suicide,0,Male,51,Asian/Pacific Islander
2014,Suicide,0,Male,57,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
2014,Suicide,0,Male,19,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,87,Asian/Pacific Islander
2014,Suicide,0,Male,18,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Male,21,Asian/Pacific Islander
2014,Suicide,0,Male,47,Asian/Pacific Islander
2014,Suicide,0,Male,79,Asian/Pacific Islander
2014,Suicide,0,Male,16,Asian/Pacific Islander
2014,Suicide,0,Male,27,Asian/Pacific Islander
2014,Suicide,0,Male,76,Asian/Pacific Islander
2014,Suicide,0,Male,67,Asian/Pacific Islander
2014,Suicide,0,Male,63,Asian/Pacific Islander
2014,Suicide,0,Female,36,Asian/Pacific Islander
2014,Suicide,0,Male,83,Asian/Pacific Islander
2014,Suicide,0,Male,48,Asian/Pacific Islander
2014,Suicide,0,Male,41,Asian/Pacific Islander
2014,Suicide,0,Male,46,Asian/Pacific Islander
2014,Suicide,0,Male,32,Asian/Pacific Islander
2014,Suicide,0,Male,61,Asian/Pacific Islander
2014,Suicide,0,Male,72,Asian/Pacific Islander
2014,Suicide,0,Female,25,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Male,40,Asian/Pacific Islander
2014,Suicide,0,Female,55,Asian/Pacific Islander
2014,Suicide,0,Male,50,Asian/Pacific Islander
2014,Suicide,0,Male,63,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,55,Asian/Pacific Islander
2014,Suicide,0,Male,24,Asian/Pacific Islander
2014,Suicide,0,Female,46,Asian/Pacific Islander
2014,Suicide,0,Male,42,Asian/Pacific Islander
2014,Suicide,0,Male,20,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,72,Asian/Pacific Islander
2014,Suicide,0,Male,65,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Female,44,Asian/Pacific Islander
2014,Suicide,0,Male,21,Asian/Pacific Islander
2014,Suicide,0,Female,47,Asian/Pacific Islander
2014,Suicide,0,Male,25,Asian/Pacific Islander
2014,Suicide,0,Female,41,Asian/Pacific Islander
2014,Suicide,0,Female,51,Asian/Pacific Islander
2014,Suicide,0,Female,24,Asian/Pacific Islander
2014,Suicide,0,Male,58,Asian/Pacific Islander
2014,Suicide,0,Male,18,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Male,43,Asian/Pacific Islander
2014,Suicide,0,Male,23,Asian/Pacific Islander
2014,Suicide,0,Male,76,Asian/Pacific Islander
2014,Suicide,0,Male,32,Asian/Pacific Islander
2014,Suicide,0,Male,48,Asian/Pacific Islander
2014,Suicide,0,Female,44,Asian/Pacific Islander
2014,Suicide,0,Male,61,Asian/Pacific Islander
2014,Suicide,0,Male,21,Asian/Pacific Islander
2014,Suicide,0,Male,66,Asian/Pacific Islander
2014,Suicide,0,Male,42,Asian/Pacific Islander
2014,Suicide,0,Male,37,Asian/Pacific Islander
2014,Suicide,0,Male,84,Asian/Pacific Islander
2014,Suicide,0,Female,26,Asian/Pacific Islander
2014,Suicide,0,Male,36,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,60,Asian/Pacific Islander
2014,Suicide,0,Male,36,Asian/Pacific Islander
2014,Suicide,0,Male,74,Asian/Pacific Islander
2014,Suicide,0,Male,33,Asian/Pacific Islander
2014,Suicide,0,Male,19,Asian/Pacific Islander
2014,Suicide,0,Male,72,Asian/Pacific Islander
2014,Suicide,0,Male,20,Asian/Pacific Islander
2014,Suicide,0,Male,29,Asian/Pacific Islander
2014,Suicide,0,Male,41,Asian/Pacific Islander
2014,Suicide,0,Male,19,Asian/Pacific Islander
2014,Suicide,0,Male,21,Asian/Pacific Islander
2014,Suicide,0,Male,45,Asian/Pacific Islander
2014,Suicide,0,Male,71,Asian/Pacific Islander
2014,Suicide,0,Male,19,Asian/Pacific Islander
2014,Suicide,0,Male,48,Asian/Pacific Islander
2014,Suicide,0,Male,15,Asian/Pacific Islander
2014,Suicide,0,Male,18,Asian/Pacific Islander
2014,Suicide,0,Male,42,Asian/Pacific Islander
2014,Suicide,0,Male,37,Asian/Pacific Islander
2014,Suicide,0,Male,21,Asian/Pacific Islander
2014,Suicide,0,Male,25,Asian/Pacific Islander
2014,Suicide,0,Female,16,Asian/Pacific Islander
2014,Suicide,0,Female,80,Asian/Pacific Islander
2014,Suicide,0,Male,49,Asian/Pacific Islander
